Brand_ID,Brand_Name
A005152,애드마일스
A017842,어반버스터즈
A003021,얼라이브
A003257,에스더포뮬러
A004271,에치와이
A006352,엔젯오리진
A010252,엘레뉴
A020051,영롱
A017189,오로라
A003256,오쏘몰
A020628,올더베러
A020006,올키
A021109,옵티젠
A015633,위아바임
A020809,위타민
A003860,이너랩
A014352,익스트림
A020014,일양약품
A005711,자로우
A017319,잠백이
A020686,젠제네틱스
A010771,종근당
A003659,차일드라이프
A020110,캔틴나인
A020222,콴첼
A020022,키즈텐
A009413,태양생활건강
A020052,퍼니트
A007291,프레스샷
A002447,프롬바이오
A016035,핏타민
A020143,하루틴
A014419,한삼인
A001597,함소아
A002691,허벌랜드
A020050,헬퓨
A002376,GNC
A012675,GNM자연의품격
A003215,RU21
A017279,것시스
A017234,고철남
A000374,광동
A002262,그린몬스터
A020551,나티아
A017093,네이처드림
A020003,뉴트리메이드
A020213,뉴트리코스트
A007131,닥터블릿
A020578,닥터하이365
A020015,대웅생명과학
A003658,데이즈온
A017136,동국제약
A001676,듀오락
A011652,디어퀸
A016757,라디메리
A002907,라엘
A002441,락토핏
A020061,랩온랩
A020820,레이델
A009077,려원담
A016778,마이시톨
A020631,멜라메이트
A000966,모닝케어
